PASSENGERS,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_CITY_MARKET_ID,DEST,YEAR,QUARTER
0.00,30181,EZE,30194,AFW,2024,1
0.00,30181,EZE,32467,MIA,2024,1
0.00,30181,EZE,32467,MIA,2024,1
0.00,30181,EZE,32467,MIA,2024,1
0.00,30181,EZE,32467,MIA,2024,1
0.00,30181,EZE,32467,MIA,2024,1
0.00,30185,AEX,33180,MBJ,2024,1
0.00,30185,AEX,33306,MID,2024,1
0.00,30194,AFW,30411,AUA,2024,1
0.00,30194,AFW,31915,GIG,2024,1
0.00,30194,AFW,34561,RMS,2024,1
0.00,30194,AFW,34832,SJD,2024,1
0.00,30194,AFW,34886,SLW,2024,1
0.00,30194,AFW,36083,YMX,2024,1
0.00,30194,AFW,36115,YLW,2024,1
0.00,30194,AFW,36242,YXE,2024,1
0.00,30194,DFW,30716,BOM,2024,1
0.00,30194,DFW,30716,BOM,2024,1
0.00,30194,DFW,30752,BRU,2024,1
0.00,30194,DFW,30752,BRU,2024,1
0.00,30194,DFW,31760,FRA,2024,1
0.00,30194,DFW,31760,FRA,2024,1
0.00,30194,DFW,31760,FRA,2024,1
0.00,30194,DFW,31760,FRA,2024,1
0.00,30194,DFW,31760,FRA,2024,1
0.00,30194,DFW,31760,FRA,2024,1
0.00,30194,DFW,31760,FRA,2024,1
0.00,30194,DFW,31874,GDL,2024,1
0.00,30194,DFW,31874,GDL,2024,1
0.00,30194,DFW,31874,GDL,2024,1
0.00,30194,DFW,31945,ICN,2024,1
0.00,30194,DFW,31945,ICN,2024,1
0.00,30194,DFW,31945,ICN,2024,1
0.00,30194,DFW,31945,ICN,2024,1
0.00,30194,DFW,31945,ICN,2024,1
0.00,30194,DFW,31945,ICN,2024,1
0.00,30194,DFW,31945,ICN,2024,1
0.00,30194,DFW,31945,ICN,2024,1
0.00,30194,DFW,31945,ICN,2024,1
0.00,30194,DFW,32126,HKG,2024,1
0.00,30194,DFW,32126,HKG,2024,1
0.00,30194,DFW,32126,HKG,2024,1
0.00,30194,DFW,32126,HKG,2024,1
0.00,30194,DFW,32126,HKG,2024,1
0.00,30194,DFW,32126,HKG,2024,1
0.00,30194,DFW,32169,NRT,2024,1
0.00,30194,DFW,32169,NRT,2024,1
0.00,30194,DFW,32169,NRT,2024,1
0.00,30194,DFW,32169,NRT,2024,1
0.00,30194,DFW,32169,NRT,2024,1
0.00,30194,DFW,34408,SIN,2024,1
0.00,30194,DFW,34408,SIN,2024,1
0.00,30194,DFW,34807,SHJ,2024,1
0.00,30194,DFW,34807,SHJ,2024,1
0.00,30194,DFW,35092,SYD,2024,1
0.00,30194,DFW,35092,SYD,2024,1
0.00,30194,DFW,35092,SYD,2024,1
0.00,30194,DFW,35306,TPE,2024,1
0.00,30194,DFW,35306,TPE,2024,1
0.00,30194,DFW,35306,TPE,2024,1
0.00,30194,DFW,35306,TPE,2024,1
0.00,30194,DFW,35306,TPE,2024,1
0.00,30194,DFW,35306,TPE,2024,1
0.00,30194,DFW,35455,UIO,2024,1
0.00,30194,DFW,35917,XMN,2024,1
0.00,30194,DFW,35917,XMN,2024,1
0.00,30194,DFW,36106,YYZ,2024,1
0.00,30194,DFW,36106,YYZ,2024,1
0.00,30194,DFW,36106,YYZ,2024,1
0.00,30194,T8X,36083,YMX,2024,1
0.00,30244,AKL,32575,LAX,2024,1
0.00,30255,HSV,30966,VCP,2024,1
0.00,30255,HSV,30966,VCP,2024,1
0.00,30255,HSV,30966,VCP,2024,1
0.00,30257,ALB,36106,YYZ,2024,1
0.00,30292,AMS,30397,ATL,2024,1
